Blade number,Wind speed (m/s), TSR,Turbine Speed, Cp
40,5.5,0.030911238,21.64652521,0.11424
40,5.5,0.020055505,14.04447129,0.08568
40,5.5,0.010712625,7.501838235,0.05712
40,5.5,0.003741241,2.619916667,0.02856
40,4.5,0,0,0.349066667
40,4.5,0.03090619,17.70790107,0.31416
40,4.5,0.050166569,28.74325955,0.279253333
40,4.5,0.0595728,34.13262032,0.244346667
40,4.5,0.060916548,34.90252941,0.20944
40,4.5,0.055989474,32.07953056,0.174533333
40,4.5,0.046583242,26.69016921,0.139626667
40,4.5,0.034489516,19.76099083,0.10472
40,4.5,0.021499958,12.31853972,0.069813333
40,4.5,0.009406232,5.389361345,0.034906667
48,8.5,0.001661564,1.798229437,0.5544
48,8.5,0.008528809,9.230312771,0.53592
48,8.5,0.014639489,15.84360281,0.51744
48,8.5,0.020023511,21.67046645,0.49896
48,8.5,0.024710784,26.74327273,0.48048
48,8.5,0.028731216,31.09438961,0.462
48,8.5,0.032114714,34.75618398,0.44352
48,8.5,0.034891188,37.76102597,0.42504
48,8.5,0.037090546,40.14128355,0.40656
48,8.5,0.038742694,41.92932251,0.38808
48,8.5,0.039877543,43.15751407,0.3696
48,8.5,0.040524999,43.85822403,0.35112
48,8.5,0.040714971,44.06382143,0.33264
48,8.5,0.040477367,43.80667424,0.31416
48,8.5,0.039842096,43.11915152,0.29568
48,8.5,0.038839065,42.03362013,0.2772
48,8.5,0.037498183,40.58244913,0.25872
48,8.5,0.035849357,38.79800541,0.24024
48,8.5,0.033922496,36.71265801,0.22176
48,8.5,0.031747509,34.35877597,0.20328
48,8.5,0.029354302,31.76872511,0.1848
48,8.5,0.026772785,28.97487554,0.16632
48,8.5,0.024032866,26.00959524,0.14784
48,8.5,0.021164452,22.90525108,0.12936
48,8.5,0.018197452,19.69421212,0.11088
48,8.5,0.015161774,16.40884632,0.0924
48,8.5,0.012087326,13.08152165,0.07392
48,8.5,0.009004017,9.744607143,0.05544
48,8.5,0.005941754,6.430469697,0.03696
48,8.5,0.002930446,3.171478355,0.01848
48,7.5,0.011343915,10.83261555,0.439824
48,7.5,0.020962459,20.01762701,0.41888
48,7.5,0.028646007,27.35485772,0.397936
48,7.5,0.034539683,32.98289057,0.376992
48,7.5,0.038788612,37.0403094,0.356048
48,7.5,0.041537919,39.66569805,0.335104
48,7.5,0.042932729,40.99764037,0.31416
48,7.5,0.043118166,41.17471925,0.293216
48,7.5,0.042239355,40.33551853,0.272272
48,7.5,0.040441421,38.61862204,0.251328
48,7.5,0.037869489,36.16261364,0.230384
48,7.5,0.034668682,33.10607525,0.20944
48,7.5,0.030984127,29.58759263,0.188496
48,7.5,0.026960947,25.74574771,0.167552
48,7.5,0.022744268,21.71912529,0.146608
48,7.5,0.018479214,17.64630825,0.125664
48,7.5,0.01431091,13.66588044,0.10472
48,7.5,0.01038448,9.916424752,0.083776
48,7.5,0.006845049,6.536525019,0.062832
48,7.5,0.003837743,3.664766043,0.041888
48,7.5,0.001507685,1.439729756,0.020944
48,6.5,0.008942312,7.400691113,0.459156923
48,6.5,0.020510343,16.97443717,0.434990769
48,6.5,0.029898532,24.74413776,0.410824615
48,6.5,0.037255503,30.83279469,0.386658462
48,6.5,0.042729882,35.36341138,0.362492308
48,6.5,0.046470295,38.45899128,0.338326154
48,6.5,0.048625367,40.24253699,0.31416
48,6.5,0.049343725,40.83705278,0.289993846
48,6.5,0.048773993,40.36554043,0.265827692
48,6.5,0.047064798,38.9510042,0.241661538
48,6.5,0.044364765,36.71644672,0.217495385
48,6.5,0.040822519,33.78487058,0.193329231
48,6.5,0.036586687,30.27928005,0.169163077
48,6.5,0.031805895,26.32267857,0.144996923
48,6.5,0.026628767,22.03806793,0.120830769
48,6.5,0.02120393,17.54845238,0.096664615
48,6.5,0.015680009,12.97683454,0.072498462
48,6.5,0.01020563,8.446217851,0.048332308
48,6.5,0.004929418,4.079604915,0.024166154
48,5.5,0,0,0.2856
48,5.5,0.018583542,13.01368487,0.25704
48,5.5,0.03009348,21.07386555,0.22848
48,5.5,0.035633788,24.95363305,0.19992
48,5.5,0.036308438,25.42607703,0.17136
48,5.5,0.033221403,23.26428782,0.1428
48,5.5,0.027476656,19.24135574,0.11424
48,5.5,0.020178169,14.13037045,0.08568
48,5.5,0.012429916,8.704422969,0.05712
48,5.5,0.005335868,3.736602241,0.02856
48,4.5,0.011197895,6.415906226,0.174533333
48,4.5,0.020006905,11.46308537,0.139626667
48,4.5,0.021499958,12.31853972,0.10472
48,4.5,0.017468716,10.0088136,0.069813333
48,4.5,0.009704842,5.560451872,0.034906667
